name,unit_code,operator,gender,facility_type,region,city,county,facility_url,jurisdiction,agency,unit_full_name,family_liaison,date_established,total_employees,security_employees,non_security_employees,windham_employees,medical_employees,capacity,custody_levels,acreage,agricultural_ops,manufacturing_ops,facility_ops,additional_ops,medical_capabilities,educational_programs,additional_programs,community_work,volunteer_initiatives,street_address,parsed_city,state,zip_code,phone,location_description,senior_warden,latitude,longitude
Huntsville,HV,CID,Male,Prison,I,Huntsville,Walker,https://www.tdcj.texas.gov/unit_directory/hv.html,Texas,TDCJ,Huntsville Unit,,1849,446,88,88,11,Medical = 15; Mental Health = 2,"1,090","G1-G3, Security  Detention, Transient",54,None,"Textile Mill; Garment Production Warehouse; Mechanical Department (Gas Engine Repair, Tractor Repair, Welding, and Machine Shop)",Unit Maintenance,"Regional Release Site:  Discharge, Parole, Mandatory Supervision; Media Center","Ambulatory medical, dental, and mental health services. CPAP accommodating housing available. Managed by UTMB.","Literacy (Adult Basic Education/GED),  CHANGES/Pre-Release; Career and Technology Programs: Business Image Management and Multimedia; Printing and Imaging Technology; Apprenticeship Programs: Automotive Technician Specialist; Cook/Baker; Lee College Vocational: Auto Mechanics, Auto Mechanics II","Adult Education Program (upon availability), Chaplaincy Services, Community Tours, Faith-Based Dormitory, GO KIDS Initiative, Peer Education, Reentry Planning",Services provided to city and county agencies and local organizations.,"Employment/Job Skills, Substance Abuse Education, Religious/Faith-Based Studies and Activities, Support Groups, Mentoring, Victims Awareness, Witness Support Services",Huntsville Unit,Huntsville,TX,77348,(936) 437-1555,Near downtown Huntsville in Walker County,,30.7217818,-95.5465364
Hutchins,HJ,CID,Male,State Jail,II,Dallas,Dallas,https://www.tdcj.texas.gov/unit_directory/hj.html,Texas,TDCJ,Hutchins State Jail,,April 1995,399,71,71,19,Medical = 24; Mental Health = 4,"2,276","J1-J5; G1, G2, Transient",70,"Unit Garden, Texas Fresh Approach Food Bank Program",None,Unit Maintenance,Regional Release Site,"Ambulatory medical, dental, and mental health services. All services on a single level. Managed by UTMB.","Literacy (Adult Basic Education/GED), Title I, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Business Computer Information Systems I; Introduction to Computer Aided Drafting","Faith-Based Dormitory, Prisoner Reentry Initiative (PRI), Adult Education Program (upon availability), Reentry Planning, Chaplaincy Services, Community Tours, Crime Stoppers, GO KIDS Initiative","Services provided to city and county agencies, the area food bank, Habitat for Humanity, local organizations, the Texas Department of Transportation, and Texas Parks and Wildlife.","Employment/Job Skills, Substance Abuse Education, Life Skills, Support Groups, Victims Awareness, Religious/Faith-Based Studies and Activities, Post-Release Housing",Hutchins State Jail,Dallas,TX,75241,(972) 225-1304,11.4 miles south of Dallas at the intersection of IH-45 and IH-20 in Dallas County,,32.6616591,-96.712526
Jester III,J3,CID,Male,Prison,III,Richmond,Fort Bend,https://www.tdcj.texas.gov/unit_directory/j3.html,Texas,TDCJ,Beauford H. Jester III Unit,,July 1982,288,44,44,7,Medical = 34; Mental Health = 2,"1,185","G1-G3,  Outside Trusty","933 (Co-located with Jester I, Jester IV, and Vance)","Unit Garden; Jester I, Jester III, and Vance work in cooperation: Security Horses, Security Pack Canines, Swine Finishing Operation, Contract Farming and Grazing, Mechanical Shop, and Combine Shed.",None,Unit Maintenance,Scent-Specific Canines; Human Remains Detection (HRD) Canines,"Ambulatory medical, dental, and mental health services with 132 wheelchair accommodated cells. Medical care available 24 hours a day, seven days a week. Twelve-bed assisted living infirmary. Specialty clinics on site are brace and limb, occupational therapy, and physical therapy. All services on single level, including assisted disability services (ADS) showers, chronic care clinics, and CPAP accommodating housing available. Digital Medical Services (DMS) and electronic specialty clinics available. Managed by UTMB.","Literacy (Adult Basic Education), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Business Computer Information Systems II; Alvin Community College Vocational: Auto Mechanics; Food Service Preparation","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative",None,"Literacy/Education, Substance Abuse Education, Life Skills, Mentoring, Support Groups, Religious/Faith-Based Studies and Activities",Beauford H. Jester III Unit,Richmond,TX,77406,(281) 277-7000,Four miles east of Richmond on Hwy 90A in Fort Bend County,,29.6230744,-95.7064077
Johnston,JT,CID,Male,SAFPF,II,Winnsboro,Wood,https://www.tdcj.texas.gov/unit_directory/jt.html,Texas,TDCJ,Clyde M. Johnston Unit,,June 1995,160,59,59,0,Medical = 10; Mental Health = 0,612,Substance Abuse Offenders,342,"Unit Garden, Hay Production",None,Unit Maintenance,None,Ambulatory medical and dental services. CPAP accommodating housing available. Managed by UTMB.,None,"Adult Education Program (upon availability), Chaplaincy Services, Community Tours, Faith-Based Dormitory, GO KIDS Initiative","Services provided to city agencies, local school districts,  the Texas Department of Transportation, and Texas Parks and Wildlife.","Literacy/Education, Substance Abuse Education, Parent Training, Support Groups, Life Skills, Religious/Faith-Based Studies and Activities",Clyde M. Johnston Unit,Winnsboro,TX,75494,(903) 342-6166,One mile east of Winnsboro on FM 3530 in Wood County,,32.9382654,-95.28293409999999
Jordan,JN,CID,Male,Prison,V,Pampa,Gray,https://www.tdcj.texas.gov/unit_directory/jn.html,Texas,TDCJ,Rufe Jordan Unit,,October 1992,289,47,47,6,Medical = 23; Mental Health = 0,"1,152","G1, G2, G4, Transient, Parole Offenders","1,211 (Co-located), (Additional 632 leased acres)","Contract Farming and Grazing, Security Horses, Security Pack Canines, Unit Garden",None,Unit Maintenance,None,Ambulatory medical and dental services. Telemedicine Services and CPAP accommodating housing available. Managed by Texas Tech.,"Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Automotive Fundamentals","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Peer Education","Services provided to city agencies, area school districts, local organizations,  the Texas Department of Public Safety, the Texas Department of Transportation, and Texas Parks and Wildlife.","Employment/Job Skills, Substance Abuse Education, Life Skills, Support Groups, Mentoring, Religious/Faith-Based Studies and Activities",Rufe Jordan Unit,Pampa,TX,79065,(806) 665-7070,"Seven  miles east of Pampa on Hwy 60, two  miles north on CR 12 in Gray County",,35.5668709,-100.8876001
Kegans,HM,CID,Male,ISF,III,Houston,Harris,https://www.tdcj.texas.gov/unit_directory/hm.html,Texas,TDCJ,Joe Kegans Intermediate Sanction Facility,,October 1997,155,19,19,3,Medical = 4; Mental Health = 0,657,"IS/J1, Parole Offenders",1,Texas Second Chance Food Bank Program,None,Unit Maintenance,None,Ambulatory medical and dental services. Managed by UTMB.,"Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention","Faith-Based Dormitory, Prisoner Reentry Initiative (PRI), Adult Education Program (upon availability), Peer Education,  Reentry Planning, Chaplaincy Services, Crime Stoppers, GO KIDS Initiative","Services provided to city and county agencies, the area food bank, and local organizations.","Literacy/Education, Employment/Job Skills, Substance Abuse Education, Life Skills,  Support Groups,  Post-Release Housing, Religious/Faith-Based Studies and Activities, Serving for Success",Joe Kegans Intermediate Sanction Facility,Houston,TX,77002,(713) 224-6584,One-half mile south of I-10 on the north side of downtown Houston on San Jacinto Street in Harris County,,29.7639673,-95.3548125
Kyle,KY,CID,Male,Prison,IV,Kyle,Hays,https://www.tdcj.texas.gov/unit_directory/ky.html,Texas,TDCJ,Kyle Correctional Center,,June 1989,117,23,23,,Medical = 10; Mental Health = 0,520,Substance Abuse,12,None,None,Unit Maintenance,None,"Ambulatory medical and  dental services. Telemedicine Services available. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Adult Basic Education, Pre-GED, GED","Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Progressive Animal Welfare Society (PAWS)",Services provided to local organizations.,"Substance Abuse Education, Support Groups, Mentoring, Victims Awareness, Religious/Faith-Based Studies and Activities",Kyle Correctional Center,Kyle,TX,78640,(512) 268-0079,Seven miles north of San Marcos on IH-35 in Hays County,,29.9785219,-97.8719141
LeBlanc,BA,CID,Male,Pre-Release,III,Beaumont,Jefferson,https://www.tdcj.texas.gov/unit_directory/ba.html,Texas,TDCJ,Richard P. LeBlanc Unit,,June 1995,248,74,74,0,Medical = 9; Mental Health = 2,"1,224","G1, G2",776 (Co-located with Gist and Stiles),"LeBlanc, Gist, and Stiles work in cooperation: Security Horses and  Security Pack Canines.",None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services   with 14 wheelchair accommodated cells. Digital Medical Services (DMS) and electronic specialty clinics available. All services on a single level, including assisted disability services (ADS) showers and CPAP accommodating housing.  Managed by UTMB.",Literacy (Adult Basic Education/GED),"Adult Education Program (upon availability),  Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative",Services provided to city agencies and  local school districts.,"Substance Abuse Education, Support Groups, Victims Awareness, Parent Training, Religious/Faith-Based Studies and Activities",Richard P. LeBlanc Unit,Beaumont,TX,77705,(409) 724-1515,Seven miles south of Beaumont on the corner of Hwy 69 and FM 3514 in Jefferson County,,29.9924973,-94.0408927
Lewis,GL,CID,Male,Prison,I,Woodville,Tyler,https://www.tdcj.texas.gov/unit_directory/gl.html,Texas,TDCJ,Gib Lewis Unit,Rebecca Gulley,August 1990,371,76,76,12,Medical = 37; Mental Health = 5,"2,380","G1-G5, Security Detention",360,"Security Horses, Security Pack Canines,  Unit Garden",Woodworking Shop,Unit Maintenance,Scent-Specific Canines,"Ambulatory medical, dental, and mental health services with 20 wheelchair-accommodated cells in high security. Digital Medical Services (DMS), electronic specialty clinics, and chronic care clinics available. All services on a single level, including assisted disability services (ADS) showers and CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release,  Cognitive Intervention;  Career and Technology Programs: Electrical Trades; Heating, Ventilation, Air Conditioning and Refrigeration; Mill and Cabinetmaking","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education,  Reentry Planning, Chaplaincy Services, GO KIDS Initiative","Services provided to county agencies, area school districts, and Habitat for Humanity.","Substance Abuse Education, Support Groups, Mentoring, Religious/Faith-Based Studies and Activities",Gib Lewis Unit,Woodville,TX,75990,(409) 283-8181,One mile east of Woodville off Hwy 190 on FM 3497 in Tyler County,,30.7960044,-94.3976533
Lindsey,LN,CID,Male,State Jail,V,Jacksboro,Jack,https://www.tdcj.texas.gov/unit_directory/ln.html,Texas,TDCJ,John R. Lindsey State Jail,,September 1995,202,38,38,,Medical = 12; Mental Health = 1,"1,031","J1-J5; G1, G2",64,None,None,Unit Maintenance,Regional Transitional Planning,"Ambulatory medical, dental, and mental health services. All services on a single level. Managed by UTMB.","Adult Basic Education, GED, Life Skills, Remedial I; Vocational Programs: Computer Applications; Horticulture","Faith-Based Dormitory, Adult Education Program (upon availability), Chaplaincy Services, GO KIDS Initiative",None,"Support Groups, Religious/Faith-Based Studies and Activities",John R. Lindsey State Jail,Jacksboro,TX,76458,(940) 567-2272,1.6 miles north of Jacksboro on FM 3344 in Jack County,,33.2473658,-98.1545701
Lopez,RL,CID,Male,State Jail,IV,Edinburg,Hidalgo,https://www.tdcj.texas.gov/unit_directory/rl.html,Texas,TDCJ,Reynaldo V. Lopez State Jail,,November 1997,257,39,39,13,Medical = 12; Mental Health = 1,903,"J1-J5, G1, G2, Transient",301 (Co-located with Segovia),"Lopez and Segovia work in cooperation: Contract Farming, Security Horses, Security Pack Canines, and Unit Garden. Lopez participates in the Texas Second Chance Program.",None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services.  All services on a single level. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release,  Cognitive Intervention; Career and Technology Programs: Construction Carpentry; Culinary Arts; Electrical Trades","Faith-Based Dormitory, Adult Education Program (upon availability),  Reentry Planning, Chaplaincy Services, Community Tours, GO KIDS Initiative","Services provided to  city agencies, the area food bank, and Texas Parks and Wildlife.","Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Reynaldo V. Lopez State Jail,Edinburg,TX,78542,(956) 316-3810,Approximately ten miles north of Edinburg off Hwy 281 in Hidalgo County,,26.4177025,-98.11765969999999
Luther,P2,CID,Male,Prison,I,Navasota,Grimes,https://www.tdcj.texas.gov/unit_directory/p2.html,Texas,TDCJ,O. L. Luther Unit,,July 1982,323,59,59,11,Medical = 20; Mental Health = 2,"1,316","G1, G2, G3, Outside Trusty","7,002 (Co-located with Pack)","Luther and Pack work in cooperation: Cow/Calf Operation, Edible and Field Crops, Farm Shop, Security Horses, Security Pack Canines,  Swine Finishing Operation, Grain Storage, and Buffalo Ranch (11,002 acres).",Stainless Steel Plant,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Twelve-bed assisted living infirmary. Digital Medical Services (DMS), electronic specialty clinics, and chronic care clinics available. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, Title I, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Automotive Specialization (Brakes); Electrical Trades; Welding; Lee College Vocational: Welding; Advanced Welding","Faith-Based Dormitory, Adult Education Program (upon availability),  Peer Education,  Reentry Planning, Chaplaincy Services, GO KIDS Initiative",Services provided to local organizations.,"Substance Abuse Education, Support Groups, Life Skills, Religious/Faith-Based Studies and Activities, Administrative Segregation Outreach Program",O. L. Luther Unit,Navasota,TX,77868,(936) 825-7547,Ten miles southwest of Navasota off Hwy 6 on FM 2 in Grimes County,,30.2637624,-96.0581742
Lychner,AJ,CID,Male,State Jail,III,Humble,Harris,https://www.tdcj.texas.gov/unit_directory/aj.html,Texas,TDCJ,Pam Lychner State Jail,,July 1995,413,76,76,21,Medical = 28; Mental Health = 3,"2,276","J1-J5, G1, G2, Transient",64,None,None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Digital Medical Services (DMS) and electronic specialty clinics available. All services on a single level. Managed by UTMB.","Literacy (Adult Basic Education/GED), Reading, Title I, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Business Computer Information Systems I; Introduction to Computer-Aided Drafting","Faith-Based Dormitory, Prisoner Reentry Initiative (PRI),  Adult Education Program (upon availability),  Reentry Planning, Chaplaincy Services, Crime Stoppers, GO KIDS Initiative","Services provided to city and county agencies, the area food bank, and local organizations.","Substance Abuse Education, Life Skills, Support Groups, Victims Awareness, Religious/Faith-Based Studies and Activities, Serving for Success",Pam Lychner State Jail,Humble,TX,77396,(281) 454-5036,Twenty miles northeast of downtown Houston on Atascocita Road in Harris County,,29.9566203,-95.2216529
Lynaugh,LH,CID,Male,Prison,IV,Fort Stockton,Pecos,https://www.tdcj.texas.gov/unit_directory/lh.html,Texas,TDCJ,James Lynaugh Unit,,September 1994,289,43,43,8,Medical = 16; Mental Health = 1,"1,416","G1, G2, G4","1,313 (Additional 1,509 leased acres)","Unit Garden,  Security Horses, Security Pack Canines",None,Unit Maintenance,Scent-Specific Canines,"Ambulatory medical, dental, and mental health services. Telemedicine Services available. All services on a single level, including CPAP accommodating housing. Managed by Texas Tech.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Automotive Specialization (Air Conditioning); Piping Trades/Plumbing; Electrical Trades","Faith-Based Dormitory, Bible College, Adult Education Program (upon availability), Reentry Planning, Chaplaincy Services, GO KIDS Initiative",None,"Substance Abuse Education, Support Groups, Marriage Training, Religious/Faith-Based Studies and Activities",James Lynaugh Unit,Fort Stockton,TX,79735,(432) 395-2938,Fifteen miles southwest of downtown Fort Stockton on FM 2037 in Pecos County,,30.7880802,-103.0513076
Marlin,N1,CID,Female,Prison,VI,Marlin,Falls,https://www.tdcj.texas.gov/unit_directory/n1.html,Texas,TDCJ,Marlin Unit,,June 1992; transferred to TYC May 1995; transferred to TDCJ in September 2007,126,23,23,3,Medical = 8; Mental Health = 0,606,"G1, G2, Transient",25,Unit Garden,None,Unit Maintenance,None,"Ambulatory medical, dental, and limited mental health services. Medical showers and Telemedicine Services available. Managed by UTMB.","Literacy (Adult Basic Education/GED),  CHANGES/Pre-Release, Cognitive Intervention","Faith-Based Dormitory, Reentry Planning, Chaplaincy Services, GO KIDS Initiative",None,Religious/Faith-Based Studies and Activities,Marlin Unit,Marlin,TX,76661-6588,(254) 883-3858,Approximately one-half mile from Hwy 6 and Hwy 7 overpass in Falls County,,31.3062874,-96.89804389999999
McConnell,ML,CID,Male,Prison,IV,Beeville,Bee,https://www.tdcj.texas.gov/unit_directory/ml.html,Texas,TDCJ,William G. McConnell Unit,Karen Coffindaffer,September 1992,473,95,95,12,Medical = 38; Mental Health = 2,"2,956","G1-G5, Security Detention, Safekeeping, Transient",299,"Security Horses, Security Pack Canines,  Unit  Garden",Garment Factory,Unit Maintenance,Scent-Specific Canines;  Regional Release Site,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Specialty clinic for optometry. Digital Medical Services (DMS), chronic care clinics, and Telemedicine and Telepsychiatry available. Seventeen-bed assisted living infirmary, including two respiratory isolation rooms and four mental health observation rooms. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Bricklaying/Stone Masonry; Construction Carpentry","Faith-Based Dormitory, Adult Education Program (upon availability),  Peer Education,  Reentry Planning, Chaplaincy Services, Community Tours, GO KIDS Initiative",None,"Literacy/Education, Substance Abuse Education, Life Skills, Parent Training, Support Groups, Religious/Faith-Based Studies and Activities",William G. McConnell Unit,Beeville,TX,78102,(361) 362-2300,One mile east of the Beeville city limits off Hwy 181 in Bee County,,28.372978,-97.7194203
Mechler,N3,CID,Male,Prison,V,Tulia,Swisher,https://www.tdcj.texas.gov/unit_directory/n3.html,Texas,TDCJ,Thomas R. Mechler Unit,,June 1992,117,24,24,4,Medical = 9; Mental Health = 0,606,"G1, G2, Transient",25,Unit Garden,None,Unit Maintenance,None,Ambulatory medical and dental services. Telemedicine Services available. Managed by Texas Tech.,"Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention","Adult Education Program (upon availability),  Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative",Services provided to city and county agencies.,"Literacy/Education, Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Thomas R. Mechler Unit,Tulia,TX,79088,(806) 995-4109,One mile west of Tulia on Hwy 86 in Swisher County,,34.5298407,-101.8132694
Memorial,DA,CID,Male,Prison,III,Rosharon,Brazoria,https://www.tdcj.texas.gov/unit_directory/da.html,Texas,TDCJ,Memorial Unit,Meredith Jeffers,1917,567,81,81,9,Medical = 23; Mental Health = 5,"1,931","G1-G5, Security Detention, Transient","6,770","Cow/Calf Operation, Edible and Field Crops, Egg Laying/Washing/Packaging Operations, Farm Shop, Security Horses, Security Pack Canines,  Swine Finishing Operation, Cold Storage Facility, Grain Storage",Tire Retreading Facility,Unit Maintenance,Windham Southern Region Administrative Office; Narcotic Canines,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Regional Digital Medical  Services (DMS),  electronic specialty clinics, and CPAP accommodating housing available. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Heating, Ventilation, Air Conditioning and Refrigeration; Automotive Specialization (Air Conditioning)","Adult Education Program (upon availability), Chaplaincy Services, Community Tours, Faith-Based Dormitory, GO KIDS Initiative, Peer Education, Reentry Planning, The Heart of Texas Foundation College of Ministry","Services provided to city and county agencies, the area food bank, Habitat for Humanity, and Texas Parks and Wildlife.","Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Memorial Unit,Rosharon,TX,77583,(281) 595-3465,Four miles north of Rosharon on FM 521 in Brazoria County,,29.4003524,-95.4898681
Michael,MI,CID,Male,Prison,II,Tennessee Colony,Anderson,https://www.tdcj.texas.gov/unit_directory/mi.html,Texas,TDCJ,Mark W. Michael Unit,Kimberly Reese,September 1987,504,115,115,13,Medical = 41; Mental Health = 2,"3,305","G1-G5, Security Detention, Safekeeping","20,528 (Co-located with Coffield, Gurney, Powledge, and Beto)","Michael, Beto, Coffield, Gurney, and Powledge work in cooperation: Feed mill and Grain Storage, Farm Shop, Cow/Calf Operation, Poultry Laying Operations, Swine Farrowing/Nursery/Finishing Operations, Pork Processing Plant, Security Horses, Security Pack Canines, Edible and Field Crops, and Unit Garden.",Mechanical Shop,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Chronic care clinics available. Twenty-four bed infirmary, including 22 hospice beds, one respiratory isolation room and one medical observation room. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Automotive Specialization (Electronics); Piping Trades/Plumbing; Sheet Metal; Trinity Valley Community College Vocational: Air Conditioning and Refrigeration; Business Computers; Horticulture; Landscaping; Masonry","Adult Education Program (upon availability), Chaplaincy Services, Community Tours, Crime Stoppers, Faith-Based Dormitory, GO KIDS Initiative, Peer Education, Reentry Planning",Services provided to county agencies and Texas Parks and Wildlife.,"Substance Abuse Education, Mentoring, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Mark W. Michael Unit,Tennessee Colony,TX,75886,(903) 928-2311,Four miles south of Tennessee Colony on FM 2054 in Anderson County,,31.79414299999999,-95.9032419
Middleton,NE,CID,Male,Prison,V,Abilene,Jones,https://www.tdcj.texas.gov/unit_directory/ne.html,Texas,TDCJ,John Middleton Unit,,January 1994,504,93,93,10,Medical = 29; Mental Health = 6,"2,128","G1-G3, Transient",402 (Co-located with Robertson),"Middleton and Robertson work in cooperation: Security Horses, Security Pack Canines, and Unit Garden.",None,Unit Maintenance,Western Region Offender Transportation Office; Substance abuse screening and assessment,"Ambulatory medical, dental, and mental health services. Telemedicine Services and laboratory services available. All services on a single level. Managed by Texas Tech.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Peer Education, Reentry Planning","Services provided to city and county agencies, local school districts,  local organizations, and the Texas Department of Transportation.","Substance Abuse Education, Life Skills, Parent Training, Support Groups, Religious/Faith-Based Studies and Activities",John Middleton Unit,Abilene,TX,79601,(325) 548-9075,Eight miles northeast of Abilene in Jones County,,32.5564651,-99.62559
Montford/West Texas Hospital,JM,CID,Male,Psychiatric,V,Lubbock,Lubbock,https://www.tdcj.texas.gov/unit_directory/jm.html,Texas,TDCJ,John Montford Unit,Helen Mayorga,Trusty Camp - December 1994;  Montford Psych Unit - July 1995;  Western Regional Medical Facility - August 1996,591,42,42,5,Medical = 59; Mental Health = 12,950,Outside trusty. All levels requiring mental health/medical treatment,"1,304","Contract Farming, Regional Pest Control, Unit Garden, Unit Food Bank Garden Program",None,Unit Maintenance,Special Needs Kitchen,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Fifty skilled nursing beds, which includes six respiratory isolation rooms and  44 long-term care beds, for a total of 94 infirmary beds. Thirty-bed holding area available and an additional 550 in-patient mental health beds. Type I Geriatric Facility. On-site surgical suite, dialysis facility, respiratory therapy, physical therapy, chronic care clinic, and brace and limb services. Telemedicine Services available. All services on a single level, including CPAP accommodating housing. Managed by Texas Tech.","Literacy (Adult Basic Education/GED),  CHANGES/Pre-Release","Faith-Based Dormitory, Adult Education Program (upon availability),  Chaplaincy Services, Reentry Planning, Crime Stoppers, Community Tours, GO KIDS Initiative","Services provided to city agencies, the area food bank, local organizations,  the Texas Department of Transportation, and Texas Parks and Wildlife.","Employment/Job Skills, Substance Abuse Education, Support Groups, Mentoring, Life Skills, Parent Training, Marriage Training, Religious/Faith-Based Studies and Activities",John Montford Unit,Lubbock,TX,79404,(806) 745-1021,Two miles southeast of Loop 289 on Hwy 84 in Lubbock County,,33.5175712,-101.7872122
"Moore, B.",BM,CID,Male,Prison,II,Overton,Rusk,https://www.tdcj.texas.gov/unit_directory/bm.html,Texas,TDCJ,Billy Moore Correctional Center,,June 1995,138,28,28,,Medical = 10; Mental Health = 0,500,"G1, G2",210,None,None,Unit Maintenance,None,Ambulatory medical and dental services. Telemedicine services available. Managed by UTMB.,"Adult Basic Education, GED, CHANGES/Pre-Release; High School, OSHA General Construction. Managed by Windham School District and The Goodwill Excel Center.","Chaplaincy Services, Faith-Based Housing, Cognitive Life Skills, Dog Training Program, Community Garden","Services provided to local governmental agencies, food banks, and other local non-profit organizations.","Literacy/Education, Mentoring, Religious/Faith-Based Studies and Activities, Support Groups, Rusk County Second Chance Initiative Dog Training Program",Billy Moore Correctional Center,Overton,TX,75684,(903) 834-6186,Three miles north of Overton in Rusk County,,32.3167933,-94.9661632
"Moore, C.",CM,CID,Male,Prison,II,Bonham,Fannin,https://www.tdcj.texas.gov/unit_directory/cm.html,Texas,TDCJ,Choice Moore Unit,,May 1995,245,46,46,10,Medical = 16; Mental Health = 0,"1,224","G1, G2",697 (Co-located with Cole),"C. Moore and Cole work in cooperation: Contract Farming and Grazing, Security Horses, Security Pack Canines, and Unit  Garden.   Moore participates in the Unit Food Bank Garden Program.",None,Unit Maintenance,Scent-Specific Canines; Laundry services provided for Cole State Jail.,"Ambulatory medical, dental, and mental health services. All services on a single level. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention","Adult Education Program (upon availability),  Chaplaincy Services, Crime Stoppers, Faith-Based Dormitory, GO KIDS Initiative, Reentry Planning","Services provided to city agencies, the area food bank, local organizations,  the Texas Department of Transportation, and Texas Parks and Wildlife.","Employment/Job Skills, Substance Abuse Education, Life Skills, Support Groups, Marriage Training, Parent Training, Religious/Faith-Based Studies and Activities",Choice Moore Unit,Bonham,TX,75418,(903) 583-4464,"Three  miles west of Bonham off Hwy 56, north on FM 87 in Fannin County",,33.5904345,-96.23143239999999
Murray,LM,CID,Female,Prison,VI,Gatesville,Coryell,https://www.tdcj.texas.gov/unit_directory/lm.html,Texas,TDCJ,Dr. Lane Murray Unit,Denise Perez,November 1995,341,47,47,11,Medical = 17; Mental Health = 3,"1,264","G1-G4, Security Detention","1,283 (Co-located with Crain, Hilltop, and Woodman)","Murray, Crain, Hilltop, Hughes, and O'Daniel work in cooperation: Edible and Field Crops, Farm Shop, Regional Pest Control, Security Horses, Security Pack Canines, and Swine Finishing Operation.",None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services with wheelchair accommodated housing. Assisted Disability Services (ADS) for hearing, vision, and mobility-impaired offenders. Physical therapy, occupational therapy, brace and limb clinics, and chronic care clinics on-site. All services on a single level, including assisted disability services (ADS) showers and CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, English as a Second Language, Cognitive Intervention; Career and Technology Programs: Hospitality and Tourism; Central Texas College Academic/Texas A&M (Central Texas) University Academic","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education, Patriot Paws, Reentry Planning, Chaplaincy Services, Community Tours, GO KIDS Initiative",Services provided to city and county agencies.,"Literacy/Education, Substance Abuse Education, Mentoring, Life Skills, Parent Training, Support Groups, Religious/Faith-Based Studies and Activities, Women's Storybook Project",Dr. Lane Murray Unit,Gatesville,TX,76596,(254) 865-2000,On Hwy 36 between FM 215 and FM 929 in Coryell County,,31.477928,-97.72844150000002
