name,jurisdiction,agency,facility_url,street_address,city,state,zip_code,county,office,latitude,longitude,warden,capacity,gender,phone,fax,chaplain_phone,warden_email,general_email,contact_name,recruiter_email,contact_phone,hours,programs
Desoto Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/564,13617 S.E. Highway 70,Arcadia,FL,34266-7800,DeSoto,Region 3,27.2090421,-81.8400575,Shane Baker,,Male,(863) 494-3727,(863) 993-7800,(863) 494-3727,shane.baker@fdc.myflorida.com,DeSotoCI.WardenOffice@fdc.myflorida.com,Briana Jimenez,Briana.Jimenez@fdc.myflorida.com,(863) 485-1390,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Special Education Services; Academic: Title I Services; Academic: Mandatory Literacy; Vocational: Welding Technology; Vocational: Building Construction Technology; Re-Entry: Career Resource Program; Re-Entry: Career Scope Assessment; Re-Entry: Compass 180 Program; Re-Entry: Financial Freedom; Re-Entry: FL Hires Masonry Program; Re-Entry: Florida CHOICES Career Planner; Re-Entry: Florida Ready to Work; Re-Entry: Jack Brewer Fatherhood Initiative; Re-Entry: Re-Entry Dormitory; Re-Entry: Re-Entry Seminar; Re-Entry: Re-Entry Simulator; Re-Entry: Thinking for a Change; Chaplaincy: 7 Habits of Highly Successful People; Chaplaincy: Anger Management; Chaplaincy: Anger and Communication; Chaplaincy: Audio/Visual/Library Program; Chaplaincy: Biblical Hermeneutics Study Class; Chaplaincy: Bridges to Life; Chaplaincy: Buddhist Services; Chaplaincy: Catholic Bible Study; Chaplaincy: Catholic Worship Services (Hispanic/English); Chaplaincy: Chapel Library Program; Chaplaincy: Chaplains Sunday Morning Service; Chaplaincy: Domestic Violence; Chaplaincy: Elementary Biblical Hebrew; Chaplaincy: Faith and Character Based Dormitory Program; Chaplaincy: Global Leadership; Chaplaincy: Grief Share; Chaplaincy: Hebreo 13.3; Chaplaincy: Hebrew Israelite Study; Chaplaincy: Hispanic Non-Denominational Bible Study; Chaplaincy: Jehovah Witness (Hispanic/English); Chaplaincy: Jehovah Witness Bible Study (Hispanic/English); Chaplaincy: Journaling; Chaplaincy: Jummah Prayer (Muslim); Chaplaincy: Kairos Reunion; Chaplaincy: Kairos Weekends; Chaplaincy: Kingdom Man; Chaplaincy: Mentoring; Chaplaincy: MINTS (Miami International Theological Seminary); Chaplaincy: Parenting from the Inside Out; Chaplaincy: Praise Band; Chaplaincy: Prison Fellowship Academy; Chaplaincy: Riverside Ministries (Hispanic); Chaplaincy: Rock of Ages Ministry; Chaplaincy: Seventh Day Adventist Services; Chaplaincy: Sex Addiction/Pornography counseling; Chaplaincy: Shabbat (Jewish Services); Chaplaincy: Spanish Calvary (Centro Cristiano El Calvario); Chaplaincy: Taaleem Studies (Muslim); Chaplaincy: Transformation Group Study Class (Biblical World Views); Chaplaincy: TUMI “The Urban Ministries Institute Seminary Program”; Chaplaincy: Way of Purity; Chaplaincy: Westminster Confession of Faith Class; Chaplaincy: Wiccan Service; Chaplaincy: Worship Services
Polk Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/580,10800 Evans Road Polk,City,FL,33868-6925,Polk,Region 3,28.1884566,-81.7851635,Leslee Pippin,,Male,(863) 984-2273,(863) 965-6374,(863) 984-2273,leslee.pippin@fdc.myflorida.com,PolkCI.WardenOffice@fdc.myflorida.com,Pamela Soby,pamela.soby@fdc.myflorida.com,(863) 984-1452,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Mandatory Literacy Program; Chaplaincy: Apostolic; Chaplaincy: Buddhist Services; Chaplaincy: Catholic Services; Chaplaincy: Exodus Service; Chaplaincy: Faith Based Dormitory Program; Chaplaincy: FIT - Family Integrity Training Program; Chaplaincy: Full Pardon Ministries; Chaplaincy: Gavel Club-Toastmasters; Chaplaincy: God Behind Bars; Chaplaincy: Hebrew Israelite Services; Chaplaincy: Hope 4 2 Day; Chaplaincy: Iglesia de Dios Services; Chaplaincy: Jehovah Witness Services; Chaplaincy: Jesus Christ Ministry; Chaplaincy: Jewish Services; Chaplaincy: Jummah Prayer Service; Chaplaincy: Kairos; Chaplaincy: Messianic Jewish Services; Chaplaincy: Orthodox Jewish Services; Chaplaincy: Parkview Christian Church Service; Chaplaincy: Restoring Hope; Chaplaincy: Revealing Truth; Chaplaincy: Rocco Morelli Service; Chaplaincy: Seventh Day Adventist; Chaplaincy: Softball Ministries; Chaplaincy: Song of Solomon; Chaplaincy: Spanish Ministry and Service; Chaplaincy: Spanish Ministry Band; Chaplaincy: Taaleem Services; Chaplaincy: TUMI; Chaplaincy: Unbroken Dreams; Chaplaincy: Wesleyan; Chaplaincy: Wings on Eagles; Chaplaincy: Word of Life
Zephyrhills Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/573,2739 Gall Boulevard,Zephyrhills,FL,33541-9701,Pasco,Region 3,28.199016,-82.1992313,Timmy Robinson Sr.,748.0,Male,(813) 782-5521,(813) 780-0134,(813) 780-3186,timmy.robinsonsr@fdc.myflorida.com,ZephyrhillsCI.WardenOffice@fdc.myflorida.com,Eboni Negron,eboni.negron@fdc.myflorida.com,(813) 780-3106,9:00 a.m. - 3:00 p.m. EST,"Academic: Adult Basic Education; Academic: ATLO (Technology Student); Academic: General Educational Development (GED); Academic: Literacy; Chaplaincy: 7th Day Adventist worship service; Chaplaincy: 7th Day Adventist study; Chaplaincy: Alcoholics Anonymous A.A.; Chaplaincy: Bell Shoals services; Chaplaincy: Bible Study Fellowship; Chaplaincy: Breaking Chains International; Chaplaincy: Buddhist Study; Chaplaincy: Calvary Chapel Services; Chaplaincy: Catholic services - Mental Health; Chaplaincy: Catholic Mass - Chapel; Chaplaincy: Chapel Choir and Band; Chaplaincy: Chapel Library Program; Chaplaincy: Creation Institute series class; Chaplaincy: Fire of Faith Ministries; Chaplaincy: Grassroots Sharing Your Faith; Chaplaincy: Grief Share; Chaplaincy: Hebrew Israelite Study; Chaplaincy: Intercessory Prayer service; Chaplaincy: Introductory Bible class; Chaplaincy: Jehovah Witness services and study; Chaplaincy: Jewish Sabbath - Messianic; Chaplaincy: Jewish Sabbath - Orthodox; Chaplaincy: Jummah Worship Service (Islamic); Chaplaincy: Kairos Prison Ministry Programs (Compound and Mental Health); Chaplaincy: Kairos Pray and Share; Chaplaincy: MFC Behind the Wire Ministries; Chaplaincy: Miami International Seminary (MINTS); Chaplaincy: Native American Studies; Chaplaincy: Net Ministries; Chaplaincy: New Believers 101; Chaplaincy: Observance of Holy Days (Christian, Jewish, Muslim, Buddhist, ...); Chaplaincy: Pentecostal Study; Chaplaincy: Prison Fellowship weekly; Chaplaincy: Religious Counseling; Chaplaincy: Religious Education; Chaplaincy: Spanish Bible Study; Chaplaincy: Special events (Christian music from 1st Baptist Lutz choir, Interdenominational compound revival program, ...); Chaplaincy: Sunday Worship Services - Chapel; Chaplaincy: Taaleem (Islamic studies); Chaplaincy: Turning Hearts Ministry; Chaplaincy: Worship Services - Mental Health"
Lancaster Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/281,3449 S.W. State Road 26,Trenton,FL,32693-5641,Gilchrist,Region 2,29.6099577,-82.8636435,Shannon Varnes,544.0,Male,(352) 463-4100,(352) 463-3476,(352) 463-4938,Shannon.Varnes@fdc.myflorida.com,LancasterCI.WardenOffice@fdc.myflorida.com,Savannah Godoy,Savannah.Godoy@fdc.myflorida.com,(352) 463-4871,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Special Education Services; Academic: Title I Services; Chaplaincy: Alcoholics Anonymous Group; Chaplaincy: Black History Month Program; Chaplaincy: Buddhist Study Group; Chaplaincy: Cast the Net Ministry; Chaplaincy: Catholic Worship Service; Chaplaincy: Celebrate Recovery Group; Chaplaincy: Chapel Library Program; Chaplaincy: Christian Bible Study Group; Chaplaincy: Faith-Based Dormitory; Chaplaincy: Gideons International; Chaplaincy: Glick Family Music Ministry; Chaplaincy: Hebrew Israelite Study Group; Chaplaincy: Institute in Basic Life Principles Seminars; Chaplaincy: Islamic Study Group (Jumu'ah); Chaplaincy: Islamic Worship Service (Taaleem); Chaplaincy: Jehovah's Witness Study Group; Chaplaincy: Jewish Study Group; Chaplaincy: Journey to the Heart Seminar; Chaplaincy: Lighthouse Word Church Ministries; Chaplaincy: Meditation Class Mentoring; Chaplaincy: Movie Ministries; Chaplaincy: Music Concerts; Chaplaincy: Music Lesson Classes; Chaplaincy: Orientation Welcome Packet Ministry; Chaplaincy: Religious Education; Chaplaincy: Seventh Day Adventist Service; Chaplaincy: Spanish Christian Worship Service; Chaplaincy: Sunday Morning Worship Service; Chaplaincy: What on Earth am I here for? Bible Study; Chaplaincy: Wiccan Study Group; Chaplaincy: Worship Services
Tomoka Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/282,3950 Tiger Bay Road Daytona,Beach,FL,32124-1098,Volusia,Region 2,29.15545,-81.1593958,Chris Lane,,Male,(386) 323-1070,(386) 323-1006,(386) 323-1094,chris.lane@fdc.myflorida.com,TomokaCI.WardenOffice@fdc.myflorida.com,Jessica Roman,Jessica.Roman@fdc.myflorida.com,(386) 323-1096,9:00 a.m. - 3:00 p.m. EST,"Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Inmate Teaching Program; Academic: Stetson University, Community Education Project; Vocational: Landscape and Turf Management; Vocational: Masonry; Chaplaincy: Alcoholics Anonymous Meetings; Chaplaincy: Catholic Services; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Religious Library; Chaplaincy: Christ to Inmate Services; Chaplaincy: Full Gospel Businessman Group; Chaplaincy: Hebrew Israelite Services; Chaplaincy: Horizon Dorm Faith & Character Programs; Chaplaincy: Independent Baptist Services; Chaplaincy: International Bible College Institute; Chaplaincy: Jehovah's Witness (Spanish); Chaplaincy: Jehovah's Witness (English); Chaplaincy: Jummah Services; Chaplaincy: Kairos Prison Ministry; Chaplaincy: Messianic Jewish Services; Chaplaincy: Native American Services; Chaplaincy: Orthodox Jewish Services; Chaplaincy: Overcomers Group; Chaplaincy: Pentecostal Church Services; Chaplaincy: Prison Fellowship; Chaplaincy: Religious Education Videos; Chaplaincy: Seventh Day Adventist Services; Chaplaincy: Southern Baptist Services; Chaplaincy: Spanish Christian Services; Chaplaincy: Wicca Study Group"
Cross City Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/211,568 N.E. 255th Street Cross,City,FL,32628,Dixie,Region 2,29.6313397,-83.099284,Jeff Kennedy,,Male,(352) 498-4444,(352) 498-1251,(352) 498-4793,jeff.kennedy@fdc.myflorida.com,CrossCityCI.WardenOffice@fdc.myflorida.com,Ashley Riley,Ashley.Riley@fdc.myflorida.com,(352) 498-4756,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education (ITA); Academic: General Educational Development (GED); Academic: Volunteer Literacy Program; Vocational: Automotive Collision Technology; Vocational: Brick & Block Masonry; Vocational: Carpentry; Vocational: Underground Utilities
Sumter Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/307,9544 County Road 476B,Bushnell,FL,33513-0667,Sumter,Region 3,28.6167327,-82.2080653,Robert Mercado,,Male,(352) 569-6100 or 568-4600,(352) 569-6196,(352) 568-4657,robert.mercado@fdc.myflorida.com,SumterCI.WardenOffice@fdc.myflorida.com,Jennifer L. Petersen,Jennifer.Petersen@fdc.myflorida.com,(352) 568-4541,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Atlo Learning Management Systems; Academic: Basic Literacy; Academic: Correspondence Courses; Academic: GED; Academic: Transition Services; Academic: Wellness Education; Vocational: Administrative Office Assistant; Vocational: Braille; Vocational: Building Maintenance Management; Vocational: IN2WORK; Re-Entry: AA/NA; Re-Entry: Compass 180; Re-Entry: D.I.R.E.C.T. Program; Re-Entry: Drug Awareness and Dependency; Re-Entry: F.I.T. Anger Management; Re-Entry: Gavel Club; Re-Entry: Life Skills; Re-Entry: Marriage & Family Counseling; Re-Entry: Veterans Program; Re-Entry: Wellness Education; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Services; Chaplaincy: Dream Inc.; Chaplaincy: Eternal Life Concept; Chaplaincy: Goal Setting/Life Skills; Chaplaincy: Gospel Echoes; Chaplaincy: Kairos; Chaplaincy: Men of the Word; Chaplaincy: M.I.N.T.S.; Chaplaincy: Parenting/Family; Chaplaincy: Passion for Prison; Chaplaincy: Prison Fellowship Quarterly; Chaplaincy: Redemption Point; Chaplaincy: Religious Education; Chaplaincy: Supporting Families; Chaplaincy: Worship and Praise
Lawtey Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/255,22298 NE CR 200B,Lawtey,FL,32058,Bradford,Region 2,30.0327007,-82.07113439999999,Randall Polk,,Male,(904) 782-2000,(904) 782-2005,(904) 782-2000,randall.polk@fdc.myflorida.com,LawteyCI.WardenOffice@fdc.myflorida.com,Destiny Shireman,Destiny.Shireman@fdc.myflorida.com,(904) 782-2344,9:00 a.m. - 3:00 p.m. EST,"Academic: Adult Basic Education; Academic: Ashland University Second Chance Pell Program; Academic: General Educational Development (GED); Academic: Literacy; Vocational: Drafting Architectural; Vocational: HVAC; Vocational: IN2WORK; Vocational: NCCER Core Construction; Vocational: OSHA 10 Class; Vocational: Plumbing; Chaplaincy: Chapel Library Program; Chaplaincy: Faith Services; Chaplaincy: Faith and Character Programming - Self Awareness, Communication and Anger; Chaplaincy: Journaling; Chaplaincy: Journey to the Heart; Chaplaincy: Kairos; Chaplaincy: Mentoring; Chaplaincy: Over 200 volunteers provide self-betterment programs; Chaplaincy: Parenting from the Inside; Chaplaincy: Strategies for Success"
Central Florida Reception Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/320,7000 H C Kelley Rd.,Orlando,FL,32831-2518,Orange,Region 3,28.4633686,-81.1540029,Jess Baldridge,,Male,(407) 207-7777,(407) 249-6570,(407) 208-8284,jess.baldridge@fdc.myflorida.com,CFRC.WardenOffice@fdc.myflorida.com,Edward Vasquez,Edward.Vasquez@fdc.myflorida.com,(407) 208-8174,9:00 a.m. - 3:00 p.m. EST,Academic: ATLO (East Unit); Academic: GED Main Unit Reception - affording reception inmates the opportunity to obtain their GED while in the reception process.; Academic: OSHA (East Unit); Academic: Special Education Screening (21 & Under Special Education Verification); Chaplaincy: Chapel Library Program; Chaplaincy: God Behind Bars; Chaplaincy: Malachi Dads; Chaplaincy: Prison Fellowship Academy; Chaplaincy: Religious Education; Chaplaincy: Spiritual Counseling; Chaplaincy: St. Peters Clever; Chaplaincy: TUMI; Chaplaincy: Worship Services
Hardee Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/501,6901 State Road 62 Bowling,Green,FL,33834-9505,Hardee,Region 3,27.5910963,-82.01482759999999,Christopher Edelen,,Male,(863) 767-3100,(863) 767-4504,(863) 767-3091,christopher.edelen@fdc.myflorida.com,HardeeCI.WardenOffice@fdc.myflorida.com,Cori Dix,Cori.Dix@fdc.myflorida.com,(863) 767-3090,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education (Close Management and Open Population); Academic: General Education Development (GED) (Close Management and Open Population); Academic: Inmate Tutor Assistant (ITA); Academic: Title I Services (Close Management and Open Population); Vocational: Carpentry; Chaplaincy: Abe Brown Ministry; Chaplaincy: Abundant Life Ministries; Chaplaincy: Aleph Institute; Chaplaincy: Apostolic Christian Church; Chaplaincy: Arca de la Gracias (Spanish); Chaplaincy: Bayside Prison Ministries; Chaplaincy: Christian Motorcyclist Association; Chaplaincy: Church of Hope; Chaplaincy: Free Inside Ministries; Chaplaincy: Frontline Ministries; Chaplaincy: God Behind Bars; Chaplaincy: God is Good; Chaplaincy: Gospel Crusade; Chaplaincy: Heart of Florida; Chaplaincy: Hebreos 13:3 (Spanish); Chaplaincy: HOPE; Chaplaincy: Ironman Bible Institute; Chaplaincy: Jehovah Witness; Chaplaincy: Jesus Only Way Ministry; Chaplaincy: Jordan Gospel Ministry; Chaplaincy: Kairos; Chaplaincy: Kings Highway; Chaplaincy: Legacy Ministry; Chaplaincy: Men of the Word; Chaplaincy: Middleburg Church of Christ; Chaplaincy: Mount Zion Progressive Missionary Baptist Church; Chaplaincy: New Life Baptist Church/Tabernacle; Chaplaincy: Potter's House; Chaplaincy: Push for the Future; Chaplaincy: River of Life Christian Center; Chaplaincy: Riverside Ministries Spanish; Chaplaincy: Rock of Ages; Chaplaincy: Southern Palm Zen Group; Chaplaincy: Spirit & Truth Ministry; Chaplaincy: St. Michaels; Chaplaincy: The River Prison Ministry; Chaplaincy: Timothy’s Gift Ministries Walker Seventh Day Adventist
Jefferson Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/103,1050 Big Joe Road,Monticello,FL,32344-0430,Jefferson,Region 1,30.51005749999999,-83.7983076,Timothy Mills,,Male,(850) 342-0500,(850) 997-0973,(850) 342-2598,timothy.mills@fdc.myflorida.com,JeffersonCI.WardenOffice@fdc.myflorida.com,Heather Thigpen,Heather.Mcnamee@fdc.myflorida.com,(850) 342-2527,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: ESL Class (English as a Second Language); Academic: General Educational Development (GED); Academic: Literacy; Vocational: Electrical; Vocational: Machine Shop; Re-Entry: Re-entry Dormitory Program; Chaplaincy: 7 Habits on the Inside; Chaplaincy: Celebrating Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Faith & Character Dormitory Program; Chaplaincy: Financial Literacy; Chaplaincy: Global Leadership Summit; Chaplaincy: Gospel Express; Chaplaincy: Kairos Prison Ministries; Chaplaincy: One Day with God; Chaplaincy: Pain to Purpose; Chaplaincy: Parables; Chaplaincy: Purpose of a Driven Life; Chaplaincy: Religious Education; Chaplaincy: Rock of Ages; Chaplaincy: Worship Services
Franklin Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/113,1760 Highway 67 North,Carrabelle,FL,32322,Franklin,Region 1,29.85326449999999,-84.66434799999999,KeyannaShabar Clack,,Male,(850) 697-1100,(850) 697-1108,(850) 697-1274,keyannashabar.clack@fdc.myflorida.com,FranklinCI.WardenOffice@fdc.myflorida.com,Angela D. Davis,Angela.Davis@fdc.myflorida.com,(850) 697-1331,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: ATLO Learning Lab; Academic: Basic Literacy Program; Academic: General Educational Development (GED); Academic: Volunteer Literacy Program; Vocational: Construction Core (Goodwill Planning); Vocational: Diesel Service Technician; Chaplaincy: 7 Habits of Highly Effective People; Chaplaincy: Alcoholics Anonymous/Narcotics Anonymous; Chaplaincy: Bible Study; Chaplaincy: Chapel Library Program; Chaplaincy: Chapel Music Program; Chaplaincy: Communication and Anger; Chaplaincy: Episcopal Studies; Chaplaincy: Faith and Character Betterment Facilitator Training Class; Chaplaincy: Faith and Character Dorm Program (also open to General Population); Chaplaincy: Financial Literacy and Employability; Chaplaincy: Gavel Club; Chaplaincy: Hebrew Israelites; Chaplaincy: Holy Day Observation Program; Chaplaincy: Individual Religious Studies; Chaplaincy: Islamic Jummah Prayer; Chaplaincy: Jehovah Witness Studies; Chaplaincy: Life Mapping; Chaplaincy: Malachi Dads; Chaplaincy: Marriage is a Ministry; Chaplaincy: MINTS (Maimi International Theological Seminary); Chaplaincy: Odinist/Asatru; Chaplaincy: Parenting from Inside; Chaplaincy: Parting is a Ministry; Chaplaincy: Personal Growth Programs; Chaplaincy: Religious Education; Chaplaincy: Religious Volunteers; Chaplaincy: Spanish Worship Programs; Chaplaincy: Special Events; Chaplaincy: Spiritual Advisor Visit Program; Chaplaincy: The Most Excellent Way (Substance Abuse); Chaplaincy: TUMI; Chaplaincy: Victim Impact; Chaplaincy: Worship Services
Jackson Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/104,5563 10th Street,Malone,FL,32445-3144,Jackson,Region 1,30.9685127,-85.1680264,Heath Holland,,Male,(850) 569-5260,(850) 569-5996,(850) 569-1834,Heath.Holland@fdc.myflorida.com,JacksonCI.WardenOffice@fdc.myflorida.com,Carlene Morales,Carlene.Morales@fdc.myflorida.com,(850) 569-1811,8:00 a.m. - 2:00 p.m. CST,"Academic: Adult Basic Education; Academic: Correspondence Courses; Academic: General Educational Development (GED); Academic: Mandatory Literacy Program; Academic: Online Career Skills, Industry Credentials and Academic Support (ATLO); Vocational: Landscape/Horticulture; Chaplaincy: Audio Video Library; Chaplaincy: Chapel Library Program; Chaplaincy: Intercessory Prayer Group; Chaplaincy: Praise Team; Chaplaincy: Religious Education; Chaplaincy: Worship Services"
Liberty Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/120,11064 N.W. Dempsey Barron Road,Bristol,FL,32321-9711,Liberty,Region 1,30.4649477,-84.8664191,Charles Driggers,,Male,(850) 643-9400,(850) 643-9412,(850) 643-9486,charles.driggers@fdc.myflorida.com,LibertyCI.WardenOffice@fdc.myflorida.com,Angela Vickery,Angela.Vickery@fdc.myflorida.com,(850) 643-9628,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Ashland University AA/BA Program; Academic: General Educational Development (GED); Academic: IJC Barber Training; Academic: IJC Warehouse Training; Academic: Volunteer Literacy Program; Academic: Wellness Education; Vocational: Applied Information Technology (LSU); Vocational: Culinary (Quincy Annex); Vocational: Masonry (Main Unit); Vocational: Waste Water - on the Job Training (Main Unit); Vocational: Welding Technology (Main Unit); Chaplaincy: Celebrate Recovery Inside; Chaplaincy: Chapel Library; Chaplaincy: Faith and Character Based Programs; Chaplaincy: Gavel Club; Chaplaincy: I.M.P.A.C.T. Program; Chaplaincy: Northwest Florida Fatherhood Initiative; Chaplaincy: Religious Studies; Chaplaincy: Spanish Services; Chaplaincy: Values and Principles; Chaplaincy: Worship Services
Northwest Florida Reception Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/110,4455 Sam Mitchell Drive,Chipley,FL,32428-3597,Washington,Region 1,30.516998,-85.6596411,Scott Duvall,,Male,(850) 773-6100,(850) 773-6252,(850) 773-6183,scott.duvall@fdc.myflorida.com,NWFRC.WardenOffice@fdc.myflorida.com,Tiffany Haire,Tiffany.Haire@fdc.myflorida.com,(850) 773-0315,8:00 a.m. - 2:00 p.m. CST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Mandatory Literacy Program; Academic: Wellness Education; Vocational: Applied Computer Technologies; Vocational: Electrician Certification Program; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Compound Visitation; Chaplaincy: Discipleship; Chaplaincy: Faith and Character Based Dormitory; Chaplaincy: Holy Day Observation Program; Chaplaincy: Kairos Weekends; Chaplaincy: Most Excellent Way; Chaplaincy: Personal Growth Programs; Chaplaincy: Praise Band; Chaplaincy: Religious Consultations; Chaplaincy: Religious Education Classes; Chaplaincy: Religious Volunteer Program; Chaplaincy: Worship Services
Okaloosa Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/115,3189 Colonel Greg Malloy Road,Crestview,FL,32539-6708,Okaloosa,Region 1,30.6963972,-86.5272292,Charles Ricks,894.0,Male,(850) 682-0931,(850) 689-7803,(850) 683-4095,charles.ricks@fdc.myflorida.com,OkaloosaCI.WardenOffice@fdc.myflorida.com,Amanda Hall,Amanda.Hall@fdc.myflorida.com,(850) 683-4007,8:00 a.m. - 2:00 p.m. CST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Mandatory Literacy; Vocational: Construction (contracted with NWFSC); Vocational: Heavy Equipment Operator (contracted with NWFSC); Vocational: Landscape Turf Management; Vocational: Masonry (contracted with NWFSC); Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Forward in Faith; Chaplaincy: Religious Education; Chaplaincy: Walking on Water - WOW; Chaplaincy: Worship Services
Quincy Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/139,2225 Pat Thomas Parkway,Quincy,FL,32351,Gadsden,Region 1,30.5528582,-84.590664,Charles Driggers,408.0,Male,(850) 627-5400,(850) 875-3572,(850) 627-5445,Charles.Driggers@fdc.myflorida.com,LibertyCI.WardenOffice@fdc.myflorida.com,,,,9:00 a.m. - 3:00 p.m. EST,Academic: General Educational Development (GED); Academic: Adult Basic Education; Academic: Volunteer Literacy Program; Academic: Wellness Program; Vocational: Culinary Arts; Chaplaincy: Chapel Library Program; Chaplaincy: Religious Education; Chaplaincy: Worship Services
Avon Park Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/503,8100 Highway 64 East Avon,Park,FL,33825,Highlands,Region 3,27.5917148,-81.5676357,Jacob Dawson,956.0,Male,(863) 452-8801,(863) 452-3729,(863) 452-8906,jacob.dawson@fdc.myflorida.com,AvonParkCI.WardenOffice@fdc.myflorida.com,Brandi Conover,brandi.conover@fdc.myflorida.com,(863) 452-8811,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Mandatory Literacy Program; Academic: Special Education Services; Academic: Title I Services; Re-Entry: Compass 180; Re-Entry: Career Scope Assessments; Re-Entry: Outside Agency Transitional Fair; Re-Entry: Re-entry Dormitories; Re-Entry: Re-entry Seminar; Re-Entry: Self-study Transition Program; Re-Entry: Transitional Fair; Chaplaincy: ABIDE 21; Chaplaincy: Block Hustle Ministry; Chaplaincy: Bread of Life; Chaplaincy: Breaking Chains; Chaplaincy: Catholic Mass; Chaplaincy: Catechism Class; Chaplaincy: Christian Fellowship; Chaplaincy: Commitment to Change; Chaplaincy: Conquer Series; Chaplaincy: Cosecha de Dios Ministry; Chaplaincy: El Calvario Ministry; Chaplaincy: Hebrew Israelite Language Class; Chaplaincy: His for Life Ministry; Chaplaincy: House of Yahweh; Chaplaincy: Iglesias de Dios; Chaplaincy: Islamic Taaleem Class; Chaplaincy: Jehovah's Witness Service; Chaplaincy: Jewish Havdalah Religious Studies; Chaplaincy: Jewish Religious Studies; Chaplaincy: Kairos; Chaplaincy: Living by the Book Class; Chaplaincy: Living Water Ministry; Chaplaincy: Men of the Word; Chaplaincy: Messianic Religious Studies; Chaplaincy: Ministerio Pentecostal; Chaplaincy: New Beginnings Project 180; Chaplaincy: Praise Team Practice; Chaplaincy: Restoring the Way; Chaplaincy: Ridge Seventh Day Adventist Religious Studies; Chaplaincy: Riverside Ministry; Chaplaincy: Spirit+Soul+Body Bible Study; Chaplaincy: The River Ministry; Chaplaincy: The Truth Project Class; Chaplaincy: Todo Para El Ministries; Chaplaincy: Victory Tabernacle
